AF;ютцюмхярюм
MQ;люпрхмхйю
MR;любпхрюмхъ
MU;любпхйхи
MX;лейяхйю
MC;лнмюйн
MN;лнмцнкхъ
MD;лнкднбю, пеяосакхйю
ME;вепмнцнпхъ
MS;лнмряеппюр
MA;люпнййн
MZ;лнгюлахй
OM;нлюм
NA;мюлхахъ
NR;мюспс
NP;меоюк
NL;мхдепкюмдш
CW;йчпюяюн
AW;юпсаю
SX;яем-люпрем (МХДЕПКЮМДЯЙЮЪ ВЮЯРЭ)
BQ;анмщип, яхмр-щярюрхся х яюаю
NC;мнбюъ йюкеднмхъ
VU;бюмсюрс
NZ;мнбюъ гекюмдхъ
NI;мхйюпюцсю
NE;мхцеп
NG;мхцепхъ
NU;мхсщ
NF;нярпнб мнптнкй
NO;мнпбецхъ
MP;яебепмше люпхюмяйхе нярпнбю
FM;лхйпнмегхъ, тедепюрхбмше ьрюрш
MH;люпьюккнбш нярпнбю
PW;оюкюс
PK;оюйхярюм
PA;оюмюлю
PG;оюосю-мнбюъ цбхмеъ
PY;оюпюцбюи
PE;оепс
PH;тхкхоохмш
PN;охрйепм
PL;онкэью
PT;онпрсцюкхъ
GW;цбхмеъ-ахяюс
TL;рхлнп-кеяре
PR;осщпрн-пхйн
QA;йюрюп
RE;печмэнм
RO;пслшмхъ
RU;пняяхъ
RW;псюмдю
BL;яем-аюпрекелх
SH;ябърюъ екемю, нярпнб бнгмеяемхъ, рпхярюм-дю-йсмэъ
KN;яемр-йхря х мебхя
AI;юмцхкэъ
LC;яемр-кчяхъ
MF;яем-люпрем (ТПЮМЖСГЯЙЮЪ ВЮЯРЭ)
PM;яем-оэеп х лхйекнм
VC;яемр-бхмяемр х цпемюдхмш
SM;яюм-люпхмн
ST;яюм-рнле х опхмяхох
SA;яюсднбяйюъ юпюбхъ
SN;яемецюк
RS;яепахъ
SC;яеиьекш
SL;яэеппю-кенме
SG;яхмцюосп
SK;якнбюйхъ
VN;бэермюл
SI;якнбемхъ
SO;янлюкх
ZA;чфмюъ ютпхйю
ZW;гхлаюабе
ES;хяоюмхъ
EH;гюоюдмюъ яюуюпю
SD;ясдюм
SR;яспхмюл
SJ;ьохжаепцем х ъм люием
SZ;щябюрхмх
SE;ьбежхъ
CH;ьбеижюпхъ
SY;яхпхияйюъ юпюаяйюъ пеяосакхйю
TJ;рюдфхйхярюм
TH;рюхкюмд
TG;рнцн
TK;рнйекюс
TO;рнмцю
TT;рпхмхдюд х рнаюцн
AE;назедхмеммше юпюаяйхе щлхпюрш
TN;рсмхя
TR;рспжхъ
TM;рспйлемхярюм
TC;нярпнбю репйя х йюийня
TV;рсбюкс
UG;сцюмдю
UA;сйпюхмю
MK;яебепмюъ люйеднмхъ
EG;ецхоер
GB;янедхмеммне йнпнкебярбн
GG;цепмях
JE;дфепях
IM;нярпнб лщм
TZ;рюмгюмхъ, назедхмеммюъ пеяосакхйю
US;янедхмеммше ьрюрш
VI;бхпцхмяйхе нярпнбю (яью)
BF;аспйхмю-тюян
UY;спсцбюи
UZ;сгаейхярюм
VE;бемеясщкю (анкхбюпхюмяйюъ пеяосакхйю)
WF;снккхя х тсрсмю
WS;яюлню
YE;иелем
ZM;гюлахъ
AB;юауюгхъ
OS;чфмюъ няерхъ
SS;чфмши ясдюм
DN;дмп
LN;кмп
